Index,FTSEMIB.MI.Open,FTSEMIB.MI.High,FTSEMIB.MI.Low,FTSEMIB.MI.Close,FTSEMIB.MI.Volume,FTSEMIB.MI.Adjusted
16/12/2020,21995,22176,21888,21987,447187000,21987
17/12/2020,22079,22142,22009,22012,456361000,22012
18/12/2020,21919,22145,21911,21976,653820900,21976
21/12/2020,21470,21634,21087,21411,596283800,21411
22/12/2020,21491,21851,21489,21844,307522300,21844
23/12/2020,21970,22156,21921,22130,306654600,22130
28/12/2020,22308,22354,22252,22289,260519700,22289
29/12/2020,22389,22395,22203,22259,229758800,22259
30/12/2020,22303,22345,22233,22233,224887400,22233
4/01/2021,22398,22493,22228,22316,432600300,22316
5/01/2021,22223,22355,22106,22201,381948600,22201
6/01/2021,22364,22793,22218,22734,672068000,22734
7/01/2021,22824,22852,22622,22746,476763700,22746
8/01/2021,22946,23004,22701,22794,447809200,22794
11/01/2021,22704,22804,22502,22722,358993400,22722
12/01/2021,22787,22821,22558,22646,459404700,22646
13/01/2021,22611,22812,22574,22744,388253200,22744
14/01/2021,22743,22880,22638,22638,405187100,22638
15/01/2021,22633,22748,22243,22381,434287800,22381
18/01/2021,22258,22516,22239,22499,335089300,22499
19/01/2021,22636,22650,22428,22442,386351200,22442
20/01/2021,22570,22665,22503,22651,380508500,22651
21/01/2021,22790,22836,22425,22429,407667700,22429
22/01/2021,22253,22259,21926,22088,455886600,22088
25/01/2021,22237,22250,21667,21736,444515300,21736
26/01/2021,21710,22044,21655,21987,370538500,21987
27/01/2021,21923,21985,21421,21663,460640200,21663
28/01/2021,21470,21941,21312,21917,421309200,21917
29/01/2021,21570,21786,21521,21573,430738500,21573
1/02/2021,21737,21883,21619,21826,320779300,21826
2/02/2021,21957,22152,21956,22067,385385100,22067
3/02/2021,22444,22738,22378,22528,788305200,22528
4/02/2021,22562,22982,22481,22901,585655700,22901
5/02/2021,22988,23276,22937,23083,763260500,23083
8/02/2021,23281,23513,23231,23426,677058800,23426
9/02/2021,23482,23482,23259,23300,435700200,23300
10/02/2021,23413,23414,23134,23265,449557400,23265
11/02/2021,23288,23369,23255,23307,391629500,23307
12/02/2021,23291,23411,23059,23411,355015700,23411
15/02/2021,23629,23652,23562,23604,438025700,23604
16/02/2021,23631,23641,23423,23441,372745200,23441
17/02/2021,23384,23453,23122,23179,391642600,23179
18/02/2021,23196,23278,22882,22922,385295100,22922
19/02/2021,22935,23187,22852,23136,451362100,23136
22/02/2021,23000,23045,22842,23009,377445000,23009
23/02/2021,23102,23174,22635,22939,508987300,22939
24/02/2021,22904,23133,22870,23098,879138700,23098
25/02/2021,23265,23292,23055,23064,695998400,23064
26/02/2021,22724,23027,22678,22849,561491600,22849
1/03/2021,23123,23272,23078,23265,475925000,23265
2/03/2021,23177,23326,23084,23084,444498500,23084
3/03/2021,23218,23353,22824,23047,610081900,23047
4/03/2021,22955,23188,22796,23093,505106200,23093
5/03/2021,22955,23290,22874,22966,599011100,22966
8/03/2021,23174,23730,23068,23682,660479000,23682
9/03/2021,23691,23870,23632,23817,609586300,23817
10/03/2021,23794,23958,23736,23926,599918900,23926
11/03/2021,24024,24222,24024,24121,749086700,24121
12/03/2021,24098,24180,24020,24113,583290800,24113
15/03/2021,24217,24425,24054,24139,519599900,24139
16/03/2021,24256,24319,24183,24261,5477600,24261
17/03/2021,24277,24350,24198,24281,5001700,24281
18/03/2021,24434,24459,24259,24360,624093300,24360
19/03/2021,24014,24370,23967,24199,1238440000,24199
22/03/2021,24075,24286,24029,24263,448927300,24263
23/03/2021,24213,24218,24024,24114,464538900,24114
24/03/2021,23970,24217,23934,24209,395181000,24209
25/03/2021,24149,24265,23993,24219,453740100,24219
26/03/2021,24390,24427,24266,24393,457711200,24393
29/03/2021,24426,24486,24328,24421,377326900,24421
30/03/2021,24537,24708,24469,24636,462403700,24636
31/03/2021,24677,24778,24637,24649,434928900,24649
1/04/2021,24731,24755,24656,24710,367029700,24710
6/04/2021,24926,24939,24746,24761,434526200,24761
7/04/2021,24762,24835,24602,24741,333287300,24741
8/04/2021,24855,24876,24532,24577,474760600,24577
9/04/2021,24614,24678,24429,24429,374601700,24429
12/04/2021,24404,24578,24341,24457,269571200,24457
13/04/2021,24486,24639,24462,24600,353958500,24600
14/04/2021,24631,24631,24435,24575,326141900,24575
15/04/2021,24601,24641,24470,24529,317438800,24529
16/04/2021,24555,24767,24526,24744,395037300,24744
19/04/2021,24733,24805,24657,24691,324837700,24691
20/04/2021,24698,24732,24048,24089,456679600,24089
21/04/2021,24194,24268,23917,24161,360222400,24161
22/04/2021,24252,24414,24176,24398,299136100,24398
23/04/2021,24278,24396,24227,24386,252467100,24386
26/04/2021,24426,24547,24322,24514,318567000,24514
27/04/2021,24515,24537,24346,24473,296045600,24473
28/04/2021,24526,24555,24359,24460,357370600,24460
29/04/2021,24548,24552,24151,24278,439223600,24278
30/04/2021,24326,24396,24086,24141,464200000,24141
3/05/2021,24196,24466,24147,24420,311724400,24420
4/05/2021,24464,24516,23944,23978,445303600,23978
5/05/2021,24159,24473,24106,24464,382990200,24464
6/05/2021,24552,24677,24371,24495,732682000,24495
7/05/2021,24630,24641,24420,24612,435968900,24612
10/05/2021,24724,24813,24651,24803,502226100,24803
11/05/2021,24614,24619,24262,24396,520032700,24396
12/05/2021,24440,24535,24254,24453,482207800,24453
13/05/2021,24235,24564,23898,24486,434877100,24486
14/05/2021,24624,24766,24430,24766,405360300,24766
17/05/2021,24846,24929,24713,24863,409875100,24863
18/05/2021,25054,25114,24818,24880,439499000,24880
19/05/2021,24623,24772,24260,24487,458337300,24487
20/05/2021,24608,24702,24397,24702,387799300,24702
21/05/2021,24770,24975,24717,24975,462066600,24975
24/05/2021,24851,24969,24792,24891,313590800,24891
25/05/2021,24950,25009,24881,24893,384107900,24893
26/05/2021,24958,24996,24682,24778,408740600,24778
27/05/2021,24713,25103,24708,25056,636884800,25056
28/05/2021,25096,25186,25043,25169,339212800,25169
31/05/2021,25171,25279,25149,25171,228536500,25171
1/06/2021,25273,25553,25268,25322,368281300,25322
2/06/2021,25281,25408,25256,25380,288084600,25380
3/06/2021,25359,25479,25201,25452,337004100,25452
4/06/2021,25449,25570,25442,25570,344696400,25570
